tax_year,field_name,field_section,narrative_text
2019,part_iii_line_1_-_organization's_mission:,Schedule O,"ESTABLISHED IN 1979 AS A VOLUNTEER CHARITY WITH THE MOTTO ""WHAT YOU GIVE IS WHAT THEY GET"", CFI WAS DESIGNED TO ENABLE 100% OF DONATIONS TO REACH CHARITIES IN ISRAEL. OVER THE YEARS, WE RECEIVED THE JERUSALEM PRIZE FOR VOLUNTEERISM, ACCOLADES FROM THE CHIEF RABBINATE, AN AWARD FROM PM MENACHEM BEGIN AND ACCOLADES FROM HUNDREDS OF CHARITIES IN ISRAEL. WE DO NOT SOLICIT OR ADVERTISE. BY WORD OF MOUTH ALONE WE HAVE GROWN INTO A SIGNIFICANT CHARITABLE FORCE IN IERAEL, WHICH HELPS THE NATION OF ISRAEL TO THRIVE."
2019,part_iii_line_4a_-_program_service_accomplishment:,Schedule O,"COMMUNITY PROJECTS: THE ORGANIZATION UNDERTAKES COMMUNITY PROJECTS WHICH BENEFIT THE WELFARE OF THE CITIZENS AND THE LAND OF ISRAEL. THE WORLD AROUND US CONTINUES TO RAPIDLY CHANGE AND THE THREATS TO THE NATION OF ISRAEL, THE LAND OF ISRAEL, THE PEOPLE OF ISRAEL, AND THE SUPPORTERS OF ISRAEL ALL AROUND THE WORLD CONTINUES TO RISE EXPONENTIALLY. AS REPORTED BY ALL WATCHDOG GROUPS AROUND THE WORLD, ANTI-SEMITISM IS A GROWING INDUSTRY IN ITS CLASSIC FORM AND IN THE PRESENT DAY FORM. VOICES OF DEMONSTRATIONS, BOYCOTTS AND ANTI-SEMITISM ARE HEARD NOT ONLY IN THE GUTTERS BUT IN CLASSROOMS, UNIVERSITY CAMPUSES, NEWSPAPERS AND PARLIAMENTS ALL OVER THE WORLD. AS THE ENEMIES OF THE JEWISH NATION HAVE BECOME AWARE OF THE FUTILITY TO DESTROY US PHYSICALLY, THEY HAVE FOUND NEW WAYS TO CAUSE US HARM. THE VENOM HEARD THROUGHOUT IS REMINISCENT OF THE 1930'S AND ITS DISASTROUS CONSEQUENCES TO HUMANITY. THIS YEAR AGAIN, CFI HAS SIGNIFICANTLY INCREASED DONATIONS TO COMBAT ANTI-SEMITISM AND THE BDS MOVEMENT. OUR COMMUNITY PROJECTS ARE MEANT TO INCREASE PUBLIC AWARENESS TO THE REALITIES OF ANTI-SEMITISM AND COMBAT IT WHEREVER IT IS FOUND. WHETHER THROUGH USE OF THE LEGAL SYSTEM OR SOCIAL MEDIA, WE NEED TO EDUCATE THE WORLD OF THE EVIL EFFECTS OF ANTI-SEMITISM, AS NOT EVEN 100 YEARS REMOVED FROM THE HOLOCAUST, WE SEE HISTORY REPEATING ITSELF. OUR GRANTS ALSO GO TO ASSIST IN THE CONSTRUCTION AND MAINTENANCE OF COMMUNITY FACILITIES THROUGHOUT ISRAEL."
2019,part_iii_line_4d_-_other_program_service_accomplishments:,Schedule O,"CATEGORY #4 - SUPPORT OF RELIGIOUS INSTITUTIONS: PROVIDED GRANTS THAT ARE PRIMARILY FOR THE SUPPORT, MAINTANANCE, AND THE CONSTRUCTION OF SYNAGOGUES AND OTHER RELIGIOUS INSTITUTIONS AND RELIGIOUS PROGRAMS. TOTAL EXPENSES - $2,383,640 TOTAL GRANTS - $2,383,640 GATEGORY #5 - MEDICAL SERVICES: PROVIDED SUPPORT FOR CLINICS AND HOSPITALS IN ORDER TO PROVIDE AID TO THE NEEDY THAT SUFFER WITH MANY MEDICAL ISSUES. IN ADDITION, SUPPORT IS PROVIDED FOR THE CONSTRUCTION OF MEDICAL FACILITIES. TOTAL EXPENSES - $780,388 TOTAL GRANTS - $780,388 CATEGORY #6 - SECURITY PROGRAMS: ISRAEL WITNESSED HUNDREDS OF ACTS OF TERRORISTS IN 2018. ISRAEL SECURITY PRECAUTIONS ARE GETTING BETTER ALL THE TIME AND CFI IS PROUD TO BE A SMALL PART OF THAT ADVANCE. TOTAL EXPENSES - $409,010 TOTAL GRANTS - $409,010"
2019,part_vi_line_2_-_family_relationships:,Schedule O,JAY MARCUS AND DR. LINDA KALISH-MARCUS HAVE A FAMILY RELATIONSHIP.
2019,part_vi_section_a_line_3_-_management_company:,Schedule O,"AS OF 2017, WE ENGAGED A MANAGEMENT CONSULTING FIRM TO HELP MANAGE THE DAY TO DAY ACTIVITIES."
2019,part_vi_section_a_line_9_-_board_members_contact_information:,Schedule O,"JAY MARCUS - 13 HAGOEL STREET, EFRAT, ISRAEL DR. LINDA KALISH MARCUS - 13 HAGOEL STREET, EFRAT, ISRAEL MITCHELL EICHEN - 5 HAMA'AYAN STREET, EFRAT, ISRAEL MICHAEL FISCHBERGER - 37 SHIVAT TZIYON STREET, EFRAT, ISRAEL"
2019,part_vi_section_b_line_11b_-_form_990_review_process:,Schedule O,"COPIES OF THE FORM 990 ARE EMAILED TO THE BOARD MEMBERS, UPON WHICH THE BOARD MEMBERS PERFORM A REVIEW OF THE FORM 990 VIA BY EMAIL AND AT THE ANNUAL MEETING OF THE BOARD."
2019,part_vi_section_c_line_19_-_documents_available_to_the_public:,Schedule O,"UPON REQUEST, FINANCIAL AND OTHER DOCUMENTS ARE EMAILED OR SUCH REQUESTS ARE DIRECTED TO PUBLIC WEBSITES WHICH MAINTAIN THEM."
2019,part_vii_line_1a,Schedule O,"THE ORGANIZATION UTILIZED THE SERVICES OF AN UNRELATED CORPORATION TO MANAGE THE DAY TO DAY ACVITIES OF THE ORGANIZATION OF WHICH JAY MARCUS, PRESIDENT AND DIRECTOR, IS THE SOLE SHAREHOLDER."
2020,part_iii_line_1_-_organization's_mission:,Schedule O,"ESTABLISHED IN 1979 AS A VOLUNTEER CHARITY WITH THE MOTTO ""WHAT YOU GIVE IS WHAT THEY GET"", CFI WAS DESIGNED TO ENABLE 100% OF DONATIONS TO REACH CHARITIES IN ISRAEL. OVER THE YEARS, WE RECEIVED THE JERUSALEM PRIZE FOR VOLUNTEERISM, ACCOLADES FROM THE CHIEF RABBINATE, AN AWARD FROM PM MENACHEM BEGIN AND ACCOLADES FROM HUNDREDS OF CHARITIES IN ISRAEL. WE DO NOT SOLICIT OR ADVERTISE. BY WORD OF MOUTH ALONE WE HAVE GROWN INTO A SIGNIFICANT CHARITABLE FORCE IN ISRAEL, WHICH HELPS THE NATION OF ISRAEL TO THRIVE."
2020,part_iii_line_4a_-_program_service_accomplishment:,Schedule O,"COMMUNITY PROJECTS: THE ORGANIZATION UNDERTAKES COMMUNITY PROJECTS WHICH BENEFIT THE WELFARE OF THE CITIZENS AND THE LAND OF ISRAEL. THE WORLD AROUND US CONTINUES TO RAPIDLY CHANGE AND THE THREATS TO THE NATION OF ISRAEL, THE LAND OF ISRAEL, THE PEOPLE OF ISRAEL, AND THE SUPPORTERS OF ISRAEL ALL AROUND THE WORLD CONTINUES TO RISE DAILY. ONE JUST NEEDS TO OPEN ANY NEWSPAPER OR WEBSITE AND YOU WILL WITNESS AN EXPLODING INDUSTRY OF CLASSICAL ANTI-SEMITISM AS WELL AS MANY NEW MODERN FORMS OF HATRED. VOICES OF DEMONSTRATIONS, BOYCOTTS AND DIVESTMENT, AND EVEN TOTAL DESTRUCTION OF THE STATE AND ITS PEOPLE ARE HEARD NOT ONLY IN THE GUTTERS BUT IN CLASSROOMS, UNIVERSITY CAMPUSES, NEWSPAPERS AND EVEN PARLIAMENTS ALL OVER THE WORLD. THE ENEMIES OF THE JEWISH NATION CONSTANTLY SEARCH FOR NEW WAYS TO HARM US. THERE ARE MANY WHO HAVE NOT GIVEN UP ON THEIR DREAM TO DESTROY US PHYSICALLY AND THERE ARE THOSE WHO, REALIZING THE FUTILITY OF THAT DREAM HAVE FOUND NEW INNOVATIVE WAYS TO CAUSE US HARM. THE VENOM HEARD THROUGHOUT IS REMINISCENT OF THE 1930'S AND ITS DISASTROUS CONSEQUENCES TO HUMANITY. CFI CONTINUES SUPPORTING THOSE CHARITIES WHICH ARE COMBATING ANTI-SEMITISM AND THE BDS MOVEMENT AND THREATS OF ANNIHILATION OF THE JEWISH PEOPLE. OUR COMMUNITY PROJECTS ARE MEANT TO INCREASE PUBLIC AWARENESS TO THE REALITIES OF ANTI-SEMITISM AND COMBAT IT WHEREVER IT IS FOUND; WHETHER THROUGH USE OF THE LEGAL SYSTEM OR SOCIAL MEDIA. WE NEED TO EDUCATE THE WORLD OF THE EVIL EFFECTS OF ANTI-SEMITISM. NOT EVEN 100 YEARS REMOVED FROM THE HOLOCAUST, WE SEE HISTORY REPEATING ITSELF. OUR GRANTS ALSO GO TO ASSIST IN THE CONSTRUCTION AND MAINTENANCE OF COMMUNITY FACILITIES THROUGHOUT ISRAEL."
2020,part_iii_line_4d_-_other_program_service_accomplishments:,Schedule O,"CATEGORY #4 - SUPPORT OF RELIGIOUS INSTITUTIONS: PROVIDED GRANTS THAT ARE PRIMARILY FOR THE SUPPORT, MAINTANANCE, AND THE CONSTRUCTION OF SYNAGOGUES AND OTHER RELIGIOUS INSTITUTIONS AND RELIGIOUS PROGRAMS. TOTAL EXPENSES - $2,575,919 TOTAL GRANTS - $2,575,919 GATEGORY #5 - MEDICAL SERVICES: PROVIDED SUPPORT FOR CLINICS AND HOSPITALS IN ORDER TO PROVIDE AID TO THE NEEDY THAT SUFFER WITH MANY MEDICAL ISSUES. IN ADDITION, SUPPORT IS PROVIDED FOR THE CONSTRUCTION OF MEDICAL FACILITIES. TOTAL EXPENSES - $816,725 TOTAL GRANTS - $816,725 CATEGORY #6 - SECURITY PROGRAMS: ISRAEL SECURITY PRECAUTIONS ARE GETTING BETTER ALL THE TIME AND WE HAVE SEEN THE RESULTS IN THE DECREASE OF TERROR VICTIMS. ALL COMMUNITY PROGRAMS OF COURSE HAVE SECURITY CONCERNS AS AN INTEGRAL PART OF THEIR BEING. SECURITY IS BUILT INTO EVERY ASPECT OF ISRAELI SOCIETY. WE HAVE NOT FORGOTTEN ABOUT SECURITY, BUT THEY ARE A PART OF A PARCEL OF COMMUNITY PROGRAMS. THIS IS REFLECTED IN A REDUCTION OF GRANTS TO PROGRAMS SPECIFICALLY INVOLVED WITH SECURITY. TOTAL EXPENSES - $39,300 TOTAL GRANTS - $39,300"
2020,part_vi_line_2_-_family_relationships:,Schedule O,"JAY MARCUS, DR. LINDA KALISH-MARCUS, AND YEHUDA MARCUS HAVE A FAMILY RELATIONSHIP."
2020,part_vi_section_a_line_3_-_management_company:,Schedule O,"AS OF 2017, WE ENGAGED A MANAGEMENT CONSULTING FIRM TO HELP MANAGE THE DAY TO DAY ACTIVITIES."
2020,part_vi_section_a_line_9_-_board_members_contact_information:,Schedule O,"JAY MARCUS - 13 HAGOEL STREET, EFRAT, ISRAEL DR. LINDA KALISH MARCUS - 13 HAGOEL STREET, EFRAT, ISRAEL MITCHELL EICHEN - 5 HAMA'AYAN STREET, EFRAT, ISRAEL MICHAEL FISCHBERGER - 37 SHIVAT TZIYON STREET, EFRAT, ISRAEL JEFF MOST - 23 MOTT DRIVE, BELLPORT, LONG ISLAND, NY 11713 JACOB WIECHHOLZ - 29 WOODMERE BLVD, WOODMERE, NY 11598 YEHUDA MARCUS - 2 MOLLER STREET, TENAFLY, NJ 07670"
2020,part_vi_section_b_line_11b_-_form_990_review_process:,Schedule O,"COPIES OF THE FORM 990 ARE EMAILED TO THE BOARD MEMBERS, UPON WHICH THE BOARD MEMBERS PERFORM A REVIEW OF THE FORM 990 VIA EMAIL AND AT THE ANNUAL MEETING OF THE BOARD."
2020,part_vi_section_c_line_19_-_documents_available_to_the_public:,Schedule O,"UPON REQUEST, FINANCIAL AND OTHER DOCUMENTS ARE EMAILED OR SUCH REQUESTS ARE DIRECTED TO PUBLIC WEBSITES WHICH MAINTAIN THEM."
2020,part_vii_line_1a,Schedule O,"THE ORGANIZATION UTILIZED THE SERVICES OF AN UNRELATED CORPORATION TO MANAGE THE DAY TO DAY ACTIVITIES OF THE ORGANIZATION OF WHICH JAY MARCUS, PRESIDENT AND DIRECTOR, IS THE SOLE SHAREHOLDER."
2021,part_iii_line_1_-_organization's_mission:,Schedule O,"ESTABLISHED IN 1979 AS A VOLUNTEER CHARITY WITH THE MOTTO ""WHAT YOU GIVE IS WHAT THEY GET"", CFI WAS DESIGNED BY ITS FOUNDERS, ARTHUR AND HADASSAH MARCUS, TO ENABLE 100% OF DONATIONS TO REACH CHARITIES IN ISRAEL. OVER THE YEARS, CFI HAS RECEIVED THE JERUSALEM PRIZE FOR VOLUNTEERISM, ACCOLADES FROM THE CHIEF RABBINATE, AN AWARD FROM PM MENACHEM BEGIN, AND ACCOLADES FROM HUNDREDS OF CHARITIES IN ISRAEL. WE DO NOT SOLICIT OR ADVERTISE. BY WORD OF MOUTH ALONE WE HAVE GROWN INTO A SIGNIFICANT CHARITABLE FORCE IN ISRAEL. AIDING OVER 400 CHARITIES AND INSTITUTIONS EACH YEAR, WE HELP THE NATION OF ISRAEL TO THRIVE."
2021,part_iii_line_4a_-_program_service_accomplishment:,Schedule O,"COMMUNITY PROJECTS: THE ORGANIZATION UNDERTAKES COMMUNITY PROJECTS WHICH BENEFIT THE WELFARE OF THE CITIZENS AND THE LAND OF ISRAEL. DURING THIS PAST YEAR ALONE WE WITNESSED A SIGIFICANT INCREASE IN ANTI-SEMITISM IN ALL ITS FORMS. THE THREATS TO THE NATION OF ISRAEL, THE LAND OF ISRAEL, THE PEOPLE OF ISRAEL, AND THE SUPPORTERS OF ISRAEL ALL AROUND THE WORLD CONTINUES TO RISE DAILY. ALL MEDIA, BUT PARTICULARLY SOCIAL MEDIA CONTINUES TO SEE AN EXPLOSION OF CLASSICAL ANTI-SEMITISM AND MANY NEW MODERN FORMS OF HATRED. VOICES OF DEMONSTRATIONS, BOYCOTTS AND DIVESTMENT, AND EVEN TOTAL DESTRUCTION OF THE STATE AND ITS PEOPLE ARE HEARD IN CLASSROOMS, UNIVERSITY CAMPUSES, NEWSPAPERS, PARLIAMENTS ALL OVER THE WORLD AND I'M SORRY TO SAY EVEN IN THE HALLS OF CONGRESS OF OUR MAJESTIC COUNTRY. THE ENEMIES OF THE JEWISH NATION CONSTANTLY SEARCH FOR NEW WAYS TO HARM US. THERE ARE MANY WHO HAVE NOT GIVEN UP ON THEIR DREAM TO DESTROY US PHYSICALLY. THE VENOM HEARD THROUGHOUT IS REMINISCENT OF THE 1930'S AND ITS DISASTROUS CONSEQUENCES TO HUMANITY. CFI CONTINUES SUPPORTING THOSE CHARITIES WHICH ARE COMBATING ANTI-SEMITISM AND THE BDS MOVEMENT AND THREATS OF ANNIHILATION OF THE JEWISH PEOPLE. OUR COMMUNITY PROJECTS ARE MEANT TO INCREASE PUBLIC AWARENESS TO THE REALITIES OF ANTI-SEMITISM AND COMBAT IT WHEREVER IT IS FOUND; WHETHER THROUGH USE OF THE LEGAL SYSTEM OR SOCIAL MEDIA. WE NEED TO EDUCATE THE WORLD OF THE EVIL EFFECTS OF ANTI-SEMITISM. NOT EVEN 100 YEARS REMOVED FROM THE HOLOCAUST, WE SEE HISTORY REPEATING ITSELF. OUR GRANTS ALSO GO TO ASSIST IN THE CONSTRUCTION AND MAINTENANCE OF COMMUNITY FACILITIES THROUGHOUT ISRAEL."
2021,part_iii_line_4d_-_other_program_service_accomplishments:,Schedule O,"CATEGORY #4 - SUPPORT OF RELIGIOUS INSTITUTIONS: PROVIDED GRANTS THAT ARE PRIMARILY FOR THE SUPPORT, MAINTANANCE, AND THE CONSTRUCTION OF SYNAGOGUES AND OTHER RELIGIOUS INSTITUTIONS AND RELIGIOUS PROGRAMS. TOTAL EXPENSES - $1,991,374 TOTAL GRANTS - $1,991,374 CATEGORY #5 - MEDICAL SERVICES: PROVIDED SUPPORT FOR CLINICS AND HOSPITALS IN ORDER TO PROVIDE AID TO THE NEEDY THAT SUFFER WITH MANY MEDICAL ISSUES. IN ADDITION, SUPPORT IS PROVIDED FOR THE CONSTRUCTION OF MEDICAL FACILITIES. TOTAL EXPENSES - $ 519,067 TOTAL GRANTS - $ 519,067 CATEGORY #6 - SECURITY PROGRAMS: SECURITY IS BUILT INTO EVERY ASPECT OF ISRAELI SOCIETY. ALL PROGRAMS WHETHER THEY BE COMMUNAL, EDUCATIONAL, OR RELIGIOUS HAVE SECURITY CONCERNS AS AN INTEGRAL PART OF THEIR BEING. THE PROGRAMS INCLUDED IN THIS CATEGORY REFER SPECIFICALLY TO PROGRAMS INVOLVED IN SECURITY. TOTAL EXPENSES - $ 503,071 TOTAL GRANTS - $ 503,071"
2021,part_vi_line_2_-_family_relationships:,Schedule O,"JAY MARCUS, DR. LINDA KALISH-MARCUS, AND YEHUDA MARCUS HAVE A FAMILY RELATIONSHIP."
2021,part_vi_section_a_line_3_-_management_company:,Schedule O,"AS OF 2017, WE ENGAGED A MANAGEMENT CONSULTING FIRM TO HELP MANAGE THE DAY TO DAY ACTIVITIES."
2021,part_vi_section_a_line_9_-_board_members_contact_information:,Schedule O,"JAY MARCUS - 13 HAGOEL STREET, EFRAT, ISRAEL DR. LINDA KALISH MARCUS - 13 HAGOEL STREET, EFRAT, ISRAEL MITCHELL EICHEN - 5 HAMA'AYAN STREET, EFRAT, ISRAEL MICHAEL FISCHBERGER - 37 SHIVAT TZIYON STREET, EFRAT, ISRAEL JEFF MOST - 23 MOTT DRIVE, BELLPORT, LONG ISLAND, NY 11713 JACOB WIECHHOLZ - 29 WOODMERE BLVD, WOODMERE, NY 11598 YEHUDA MARCUS - 169 COPLEY AVENUE, TEANECK, NJ 07666"
2021,part_vi_section_b_line_11b_-_form_990_review_process:,Schedule O,"COPIES OF THE FORM 990 ARE EMAILED TO THE BOARD MEMBERS, UPON WHICH THE BOARD MEMBERS PERFORM A REVIEW OF THE FORM 990 VIA EMAIL AND AT THE ANNUAL MEETING OF THE BOARD."
2021,part_vi_section_c_line_19_-_documents_available_to_the_public:,Schedule O,"UPON REQUEST, FINANCIAL AND OTHER DOCUMENTS ARE EMAILED OR SUCH REQUESTS ARE DIRECTED TO PUBLIC WEBSITES WHICH MAINTAIN THEM."
2021,part_vii_line_1a,Schedule O,"THE ORGANIZATION UTILIZED THE SERVICES OF AN UNRELATED CORPORATION TO MANAGE THE DAY TO DAY ACTIVITIES OF THE ORGANIZATION OF WHICH JAY MARCUS, PRESIDENT AND DIRECTOR, IS THE SOLE SHAREHOLDER."
2022,part_iii_programs,Part III,"OTHER PROGRAM SERVICES 4: Support of religious institutions:Provided grants that are primarily for the support, maintanance and construction of synagogues and other religous institutions and religious programs. OTHER PROGRAM SERVICES 5: Medical ServicesProvided support for clinics and hospitlas in order to provide aid to the needy that suffer with many medical issues. In addition, support is provided for construction of medical facilities. OTHER PROGRAM SERVICES 6: Security ProgramsSecurity is built into every aspect of Israeli society. All programs whether they be communal, educational or religious, have security concerns as an integral part of their being. The programs included in this category refer specifically to programs involved in security."
2022,part_vi_governance,Part VI,"Copies of the form 990 are emailed to the board members, upon which theBoard members perform a review of the form 990 via email and at theAnnual meeting of the board."
2022,part_vi_governance,Part VI,"Documents available to the public:Upon request, financial and other documents are emailed or such requestsAre directed to public websites which maintain them."
2022,part_vi_governance,Part VI,Jay and Linda Marcus are married and Yehuda Marcus is their son.
2022,part_vi_governance,Part VI,As of 2017 the Organization engaged a management consulting firm to help manage the day to day activities
2023,part_iii_programs,Part III,"OTHER PROGRAM SERVICES 4: Support of religious institutions:Provided grants that are primarily for the support, maintenance and construction of synagogues and other religous institutions and religious programs. OTHER PROGRAM SERVICES 5: Medical ServicesProvided support for clinics and hospitals in order to provide aid to the needy that suffer with many medical issues. In addition, support is provided for construction of medical facilities. OTHER PROGRAM SERVICES 6: Security ProgramsSecurity is built into every aspect of Israeli society. All programs whether they be communal, educational or religious, have security concerns as an integral part of their being. The programs included in this category refer specifically to programs involved in security. OTHER PROGRAM SERVICES 7: Public awareness programs: Programs that seek to bring awarness to the public about issues that are important, such as Hasbara, explaining Israel's standpoint against the many lies and half truths that seek to destroy Israel through undermining its legitimacy and by attempting to legitimize virulent anti semitism thorugh the use of social media"
2023,part_vi_governance,Part VI,Jay and Linda Marcus are married and Yehuda Marcus is their son.
2023,part_vi_governance,Part VI,As of 2017 the Organization engaged a management consulting firm to help manage the day to day activities
2023,part_vi_governance,Part VI,"Copies of the form 990 are emailed to the board members, upon which theBoard members perform a review of the form 990 via email and at theAnnual meeting of the board."
2023,part_vi_governance,Part VI,"Documents available to the public:Upon request, financial and other documents are emailed or such requestsAre directed to public websites which maintain them."
2024,part_iii_programs,Part III,"OTHER PROGRAM SERVICES 4: Support of religious institutions:Provided grants that are primarily for the support, maintenance and construction of synagogues and other religous institutions and religious programs. OTHER PROGRAM SERVICES 5: Medical ServicesMedical services are a large part of community and humanitarian programs due to the war . Listed in this category would be only services who specifically deal with medical issues and maintenance and construction of medical facilities OTHER PROGRAM SERVICES 6: Security ProgramsSecurity is built into every aspect of Israeli society. All programs whether they be communal, educational or religious, have security concerns as an integral part of their being. The programs included in this category refer specifically to programs involved in security."
2024,part_vi_governance,Part VI,Jay and Linda Marcus are married and Yehuda Marcus is their son.
2024,part_vi_governance,Part VI,As of 2017 the Organization engaged a management consulting firm to help manage the day to day activities
2024,part_vi_governance,Part VI,"Copies of the form 990 are emailed to the board members, upon which theBoard members perform a review of the form 990 via email and at theAnnual meeting of the board."
2024,part_vi_governance,Part VI,"Documents available to the public:Upon request, financial and other documents are emailed or such requestsAre directed to public websites which maintain them."
2025,part_vi_governance,Part VI,Jay and Linda Marcus are married and Yehuda Marcus is their son.
2025,part_vi_governance,Part VI,As of 2017 the Organization engaged a management consulting firm to help manage the day to day activities
2025,part_vi_governance,Part VI,"Copies of the form 990 are emailed to the board members, upon which theBoard members perform a review of the form 990 via email and at theAnnual meeting of the board."
2025,part_vi_governance,Part VI,"Documents available to the public:Upon request, financial and other documents are emailed or such requestsAre directed to public websites which maintain them."
2025,form_990_part_xi_line_9,Schedule O,Other Adjustment = -$8414
